---
season: 2021-22
division: d2
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
past: 83 (9%)
today: 1 (0%)
future: 779 (88%)
completed: 82 (98%)
postponed: 1 (1%)
unreported: 1 (1%)
total: 882
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
 PSAC	112284	2021-10-09	11:00am	W		KUTZ 	at		SHL  	L	2-5	 	 	d2     		2021-10-09T15:00Z		ET	11:00 A.M.	Latrobe HS                          				
G-MAC	 35701	2021-10-09	12:00pm	W		FRANC	at		ASH  	L	1-6	 	 	d3/d2  		2021-10-09T16:00Z		  	12:00 P.M.	Ashland, OH                         				
 GLVC	132824	2021-10-09	12:30pm	W		DOANE	vs		WJC  	L	2-5	N	 	naia/d2		2021-10-09T16:30Z		CT	11:30 A.M.	Crete, NE                           				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvLzaKpMKsWCRx1G7G%2bptMhyHWTLrzV3EAjSGLVvnzpbFq19arrCYpVpTUiyYaZsXpbQ%3d%3d&path=wten)
G-MAC	 35435	2021-10-09	 1:00pm	W		FIND 	at		SAG  	W	6-1	 	 	d2     		2021-10-09T17:00Z		  	1:00 P.M. 	University Center, MI               				
 PSAC	112111	2021-10-09	 4:00pm	W		SHIP 	at		CUP  	L	1-6	 	 	d2     		2021-10-09T20:00Z		ET	4:00 P.M. 	California, PA                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJY2M8X7NdWlMWCDTnC0Gw%2fYC4CX9ZH2QrCx8MlaYZrVD&path=wten)
 GLVC	132825	2021-10-09	 4:30pm	W		WJC  	at		CONNE	W	7-0	 	 	d2/naia		2021-10-09T20:30Z		CT	3:30 P.M. 	Seward, NE                          				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglHIARg3QYR5%2fBgSCyuqNll341UeqqfapDZf7dLktzvLzaKpMKsWCRx1G7G%2bptMhyHAis9JN0uWyJo6kMqzvotO%2fdwDRsGBpwmPL8b0F7Qyxg%3d%3d&path=wten)
 PSAC	112285	2021-10-10	 1:00pm	W		SHL  	at		GREEN	W	9-0	 	 	d2/d3  		2021-10-10T17:00Z		ET	1:00 P.M. 	Greensburg Racquet Club             				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkio6up6BhUe3e9AB8aiXh5OJR72gmBP8%2bTKd7Gh71UmtF9199kuLbXGnUJddl%2f1dUbXBZDiDQUF2x0YE5H%2f2BUphLwqz0%2fDDh6HXQ6Xr2rNw%3d%3d&path=wten)
 GLVC	132630	2021-10-12	12:00pm	W		MUSL 	at		LIND 	W	6-1	 	 	d2     		2021-10-12T16:00Z		CT	11:00 A.M.	St. Charles, MO                     				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgm71SrmuWknlCH12ISmC7HMW3YzhSFZ2Llrd1vI5JbrUd65ROYK1%2fwm3tpM67CksuZ56fEOPjeisCvWoK9r4mEl%2bulBoaMSbqfFdaW2n9W3yg%3d%3d&path=wten)
 PSAC	112361	2021-10-12	 2:30pm	W		CHC  	at		WCUPA	L	1-6	 	 	d2     		2021-10-12T18:30Z		ET	2:30 P.M. 	West Chester, PA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgklHEmiteiJDQUcm0dwQRKSRFxQBvCAv701czsHAu7RGwX15bH1zih7hOGng3Pvr1U4z6DWZi0PqPgSY86XfElF1IkCHMGPGHcc78b2GEb4Ug%3d%3d&path=wten)
 PSAC	112114	2021-10-12	 3:00pm	W		CUP  	at		DEC  	L	2-5	 	 	d2     		2021-10-12T19:00Z		ET	3:00 P.M. 	Elkins, WV                          				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmxdLJOv%2fjRrK5ASrfF4FjowrVK2NYKbK3NP8MLzOoYJR7S3u%2bnyjjfkQreRsVn%2flBMGwkPI3wcuWG%2beT4CPTHS8F%2fV%2fdqYLIQC%2b2a6VqlvxA%3d%3d&path=wten)
 PSAC	112254	2021-10-13	 2:00pm	W		UDC  	at		MILL 	W	7-0	 	 	d2     		2021-10-13T18:00Z		ET	2:00 P.M. 	Millersville, PA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkbHtwaIoIhoILVDgijoN6t%2bfIYvA6jhRTRxwpv%2f%2bqJF66%2fFO5jZ%2bHblEan9kuon3dWHutnkIpxXgCpysnIEetYldAZOZO0UawePhyPHwQ%2fMg%3d%3d&path=wten)
   CC	 68391	2021-10-13	 4:00pm	W		EMM  	at		YOUNG	L	3-4	 	 	d2     		2021-10-13T20:00Z		ET	4:00 p.m. 	Young Harris, GA                    				[Box Score](/boxscore.aspx?id=tuBAzSyZL2EN8DRzJ1Dc0MyKWXtvcBC1Z6NjAFtGG2dXCdDWYcHnwyk292sUdJIiwy7oO7oFHuxFRzFpk9dpAdX50JXKWmqs4FfQ5wk9KQY%3d&path=wten)
  PBC	 60324	2021-10-13	 4:00pm	W		EMM  	at		YOUNG	L	3-4	 	 	d2     		2021-10-13T20:00Z		ET	4:00 P.M. 	Young Harris, GA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgkW6YLSWoiYhIJ8w5KqoUHxJ6FGP4%2bzQiAWeN7iGfHszNrogYJ4F9iK8x%2bTG2AUo%2bByVyqYX3EkeCBYPut7lbTo497fbfoGpbC4ydiDxQnPIw%3d%3d&path=wten)
 PSAC	112359	2021-10-14	 2:30pm	W		JEFF 	at		WCUPA	W	4-3	 	 	d2     		2021-10-14T18:30Z		ET	2:30 P.M. 	West Chester, PA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgklHEmiteiJDQUcm0dwQRKSRFxQBvCAv701czsHAu7RGwX15bH1zih7hOGng3Pvr1V9r5VbOWF1IRJSx%2fP30mlpIlKGKQNBBxzL1cZrxSUcmg%3d%3d&path=wten)
 PSAC	112085	2021-10-15	 6:00pm	W		UDC  	at		BUP  	W	7-0	 	 	d2     		2021-10-15T22:00Z		ET	6:00 P.M. 	Bloomsburg, PA                      				
G-MAC	 35436	2021-10-16	11:00am	W		CWRU 	vs		FIND 	W	6-3	N	 	d3/d2  		2021-10-16T15:00Z		  	11:00 A.M.	Oberlin, OH                         				
G-MAC	 35399	2021-10-16	11:00am	W		HIL  	at		DAVEN	W	7-0	 	 	d2     		2021-10-16T15:00Z		  	11:00 A.M.	Grand Rapids, MI                    				
 GLVC	132753	2021-10-16	 1:00pm	W		MUSL 	at		USI  	W	7-0	 	 	d2     		2021-10-16T17:00Z		CT	12:00 P.M.	Evansville, IN                      				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgmfJ7PugNpYNxB8MSJH1f0DvpuSxpDM6oBrr1NB917BF6Kf3ZZdODeAwJwgWDJhOrnWcjaq8OmYj2WTSWp%2b%2bt%2bL&path=wten)
G-MAC	 35709	2021-10-16	 3:00pm	W		FIND 	at		OBRL 	W	8-1	 	 	d2/d3  		2021-10-16T19:00Z		  	3:00 P.M. 	Oberlin, OH                         				
 PSAC	112360	2021-10-20	 2:00pm	W		STAC 	at		WCUPA	W	6-1	 	 	d2     		2021-10-20T18:00Z		ET	2:00 P.M. 	West Chester, PA                    				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgklHEmiteiJDQUcm0dwQRKSRFxQBvCAv701czsHAu7RGwX15bH1zih7hOGng3Pvr1XlOhlAh98Jfsj7NCtXhCXtR48gea2RJFbvJ0YmRFJWRg%3d%3d&path=wten)
 PSAC	112289	2021-10-22	 2:30pm	W		FROST	at		SHEP 	L	3-4	 	 	d2     		2021-10-22T18:30Z		ET	2:30 P.M. 	Shepherdstown, WV                   				
