---
season: d3
gender: men
description: schedule/scoreboard from team websites
updated: 2022-01-21
past: 125 (17%)
today: 1 (0%)
future: 604 (83%)
completed: 94 (75%)
unreported: 32 (25%)
total: 731
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	dateGMT	teamId	opponentId	dualId
ITA	48935	2021-10-09	 6:00pm	M		CAP  	at	  	GENEV                      	W	9-0	 	 	d3     	2021-10-09T22:00Z			b765932f-b009-4a39-b31d-944f79e666d1
ITA	29067	2021-10-09	10:00am	M		CWRU 	vs	  	FIND                       	W	9-0	N	 	d3/d2  	2021-10-09T14:00Z			8ce5ea95-d35e-4299-bc5d-947440242b58
ITA	58644	2021-10-09	10:00am	M		FIND 	at	  	OBRL                       	W	5-4	 	 	d2/d3  	2021-10-09T14:00Z			5460b5dd-e78e-42d2-b563-05186721b8ef
ITA	 4160	2021-10-09	 9:00am	M		BTHIN	at	  	MANC                       	W	7-2	 	 	naia/d3	2021-10-09T13:00Z			277d7c60-c266-46ad-89e7-a59ab5e60753
ITA	48243	2021-10-09	 4:00pm	M		JUDIL	at	  	MANC                       	W	9-0	 	 	naia/d3	2021-10-09T20:00Z			fa0c0cf8-0e4b-4d0b-a5d7-df3fc0f8dc1f
ITA	83848	2021-10-10	12:00pm	M		WAL  	at	  	WOOST                      	W	8-1	 	 	d2/d3  	2021-10-10T16:00Z			c994b451-8d7d-4099-9280-02b94493bce8
ITA	32511	2021-10-10	10:00am	M		MID  	at	  	CAP                        	L	0-9	 	 	d3     	2021-10-10T14:00Z			016ff738-dc8b-4ebf-a76a-7d10ba38b4f3
ITA	27985	2021-10-10	 5:00pm	M		NJCU 	vs	  	WAG                        	 	   	N	 	d3/d1  	2021-10-10T21:00Z			f483b949-4d9b-4fff-9554-da3a577ba249
ITA	61134	2021-10-12	 3:30pm	M		ENAZ 	at	  	NIC                        	W	6-3	 	 	d3     	2021-10-12T19:30Z			91054d6e-0fd0-4d87-b327-24869e2464c2
ITA	56237	2021-10-14	 3:00pm	M		ENAZ 	at	  	BENT                       	 	   	 	 	d3/d2  	2021-10-14T19:00Z			207a416d-803a-43f8-ada4-38392ffed782
ITA	80759	2021-10-15	 3:00pm	M		BENT 	at	  	ENDCT                      	 	   	 	 	d2/d3  	2021-10-15T19:00Z			3cb36edb-65a6-4e40-b351-b155b9184abe
ITA	69847	2021-10-15	 6:00pm	M		MUW  	at	  	MARYV                      	 	   	 	 	juco/d3	2021-10-15T22:00Z			c2d9791a-2182-4ef2-bece-a538e7dbfe9e
ITA	62333	2021-10-16	 2:00pm	M		CAT  	at	  	AVER                       	W	5-4	 	 	d2/d3  	2021-10-16T18:00Z			17b9235e-8505-4cee-bf54-13572b5b1d1b
ITA	98449	2021-10-16	12:00pm	M		ENDCT	at	  	AC                         	 	   	 	 	d3/d2  	2021-10-16T16:00Z			c6a8f2d5-f768-4264-a837-62e7883dfe51
ITA	28884	2021-10-16	 5:00pm	M		WITT 	at	  	TMORE                      	L	2-5	 	 	d3/naia	2021-10-16T21:00Z			350458db-50f9-4741-a7de-642e217194af
ITA	93951	2021-10-17	11:30am	M		YESH 	at	  	ALMAG                      	W	6-3	 	 	d3     	2021-10-17T15:30Z			df1a633e-d996-4d32-ad05-7720db821a49
ITA	67892	2021-10-20	 3:00pm	M		GORD 	at	  	ENAZ                       	 	   	 	 	d3     	2021-10-20T19:00Z			ef08a41b-7dd1-4190-8f0f-aedd4ab3bc4b
ITA	51189	2021-10-23	11:00am	M		EMHEN	at	  	KING                       	 	   	 	 	d3/d2  	2021-10-23T15:00Z			a307c3cd-1a08-43db-9ae7-e67a5cc041ad
ITA	93828	2021-10-24	 1:00pm	M		MBALD	at	  	FERM                       	 	   	 	 	d3     	2021-10-24T17:00Z			5cf18032-2346-464b-aafe-a568631bbfb8
ITA	14680	2021-10-25	 2:00pm	M		MRYMT	at	  	MBALD                      	 	   	 	 	d3     	2021-10-25T18:00Z			80616daf-d337-4cce-bede-b0f6c85887f9
ITA	58828	2021-11-18	12:00pm	M		MRYMT	at	  	STEV                       	L	4-5	 	 	d3     	2021-11-18T17:00Z			d6946977-bb3c-4c65-8310-391c3bb6dc20
ITA	20873	2021-11-23	 4:00pm	M		EMHEN	at	  	JOHN                       	W	7-0	 	 	d3/naia	2021-11-23T21:00Z			b811d068-fd75-45e8-86ee-1b23b0b8e8ac
ITA	60701	2022-01-14	 5:00pm	M		CENTR	at	  	WARTB                      	 	   	 	C	d3     	2022-01-14T22:00Z			1d7addd4-8dde-483d-99da-8ed70a9dbb8a
ITA	58403	2022-01-21	 5:00pm	M		CMS  	at	 9	USC                        	 	   	 	 	d3/d1  	2022-01-21T22:00Z			23d93813-34bc-411a-bf73-c5230c7739b1
ITA	48719	2022-01-22	 4:00pm	M		MTST 	at	  	WHITW                      	 	   	 	 	d1/d3  	2022-01-22T21:00Z			f1cf6103-8f23-4b50-a315-3ebb6da398a1
ITA	65599	2022-01-22	 1:00pm	M		UCSC 	at	  	SCLAR                      	 	   	 	 	d3/d1  	2022-01-22T18:00Z			34a9adcf-6f11-4fd7-a20d-7e88b8823edf
ITA	93695	2022-01-28	 5:00pm	M		NWCMN	at	  	STMAR                      	 	   	 	 	d3     	2022-01-28T22:00Z			c386b25c-a0e9-41ba-ab4a-de72fc1e6c3a
ITA	66913	2022-01-29	 1:30pm	M		MLUTH	at	  	STMAR                      	 	   	 	 	d3     	2022-01-29T18:30Z			2aecf19c-8959-448c-9fa5-f5bba1a19f53
ITA	66731	2022-01-29	 2:00pm	M		NCENT	at	  	CHICG                      	 	   	 	 	d3     	2022-01-29T19:00Z			e0dac065-667f-4eee-a0ed-eadc65780ced
ITA	37277	2022-01-29	11:00am	M		GUST 	at	  	SEAST                      	 	   	 	 	d3/naia	2022-01-29T16:00Z			6c295baf-db2b-4dd0-9046-16bbc45b3c7f
ITA	11612	2022-01-29	11:00am	M		ICCC 	at	  	COE                        	 	   	 	 	juco/d3	2022-01-29T16:00Z			ebaa1043-2dcc-4504-b5f5-82038dff1536
ITA	78708	2022-01-30	 1:00pm	M		CARLE	at	  	STMAR                      	 	   	 	C	d3     	2022-01-30T18:00Z			6102b918-5b4b-43d9-a516-9e5a8048c81a
ITA	11193	2022-01-31	 3:00pm	M		GUST 	at	  	LEO                        	 	   	 	 	d3/d2  	2022-01-31T20:00Z			a996ae07-2c4d-4301-a7b6-cee1edbb8508
ITA	12177	2022-01-31	10:00am	M		GUST 	at	  	EFSC                       	 	   	 	 	d3/juco	2022-01-31T15:00Z			61bf814f-ceb5-48a5-a5a6-2cd374cab321
ITA	89382	2022-02-04	 6:00pm	M		NCWES	at	10	WAKE                       	 	   	 	 	d3/d1  	2022-02-04T23:00Z			a261ede7-d142-4fd0-a593-35c00c3c276c
ITA	71334	2022-02-04	 2:00pm	M		RIPON	vs	  	STMAR                      	 	   	N	 	d3     	2022-02-04T19:00Z			38e94a13-0821-430e-be37-22e44aedfcaa
ITA	  686	2022-02-04	 7:00pm	M		LWRNC	vs	  	STMAR                      	 	   	N	 	d3     	2022-02-05T00:00Z			a1e7858d-cb34-43eb-8aa8-d7cd4c72a181
ITA	29000	2022-02-04	 7:00pm	M		WHITW	at	  	EWU                        	 	   	 	 	d3/d1  	2022-02-05T00:00Z			286c6e02-87db-47c1-94c2-bf3fa16f1ac6
