---
tournaments: 115
events: 236
eventsWithDraws: 40
eventsWithoutDraws: 196
draws: 157
brackets: 460
results: 2660
---
tournamentCode	eventId	drawId	bracketId	gender	eventName	drawName	bracketName	rounds	results
21-22816	3	3	1	M	Men's Open Doubles	White	MAIN	R1,R2,R3,R4,R5	10
21-22816	4	1	1	W	Women's Open Doubles	Blue	EAST	QF,SF,F	7
21-22816	4	1	2	W	Women's Open Doubles	Blue	WEST	SF,F	3
21-22816	4	1	3	W	Women's Open Doubles	Blue	3-4 Playoff	F	1
21-22816	4	1	4	W	Women's Open Doubles	Blue	SOUTH	F	1
21-22816	4	2	1	W	Women's Open Doubles	Red	EAST	QF,SF,F	7
21-22816	4	2	2	W	Women's Open Doubles	Red	WEST	SF,F	3
21-22816	4	2	3	W	Women's Open Doubles	Red	3-4 Playoff	F	1
21-22816	4	2	4	W	Women's Open Doubles	Red	SOUTH	F	1
21-22816	4	3	1	W	Women's Open Doubles	Green	MAIN	R1,R2,R3,R4,R5	15
21-23395	1			M	Men's Open Singles				
21-23395	2			M	Men's Open Doubles				
21-23711	1			M	Men's Open Singles				
21-23711	2			M	Men's Open Doubles				
21-23829	1			W	Women's Open Singles				
21-23829	2			W	Women's Open Doubles				
21-24236	1			M	Men's Open Singles				
21-24236	2			M	Men's Open Doubles				
21-24367	1	1	1	M	Men's Open Singles	Flight A	MAIN	16,QF,SF,F	15
21-24367	1	1	2	M	Men's Open Singles	Flight A	CONSOLATION	QQ,QF,SF,F	11
21-24367	1	2	1	M	Men's Open Singles	Flight B	MAIN	16,QF,SF,F	15
21-24367	1	2	2	M	Men's Open Singles	Flight B	CONSOLATION	QQ,QF,SF,F	11
21-24367	1	3	1	M	Men's Open Singles	Flight C	MAIN	16,QF,SF,F	15
21-24367	1	3	2	M	Men's Open Singles	Flight C	CONSOLATION	QQ,QF,SF,F	11
21-24367	2	1	1	W	Women's Open Singles	Flight A	MAIN	QF,SF,F	7
21-24367	2	1	2	W	Women's Open Singles	Flight A	CONSOLATION	SQ,SF,F	5
21-24367	2	2	1	W	Women's Open Singles	Flight B	MAIN	QF,SF,F	7
21-24367	2	2	2	W	Women's Open Singles	Flight B	CONSOLATION	SQ,SF,F	5
21-24367	2	3	1	W	Women's Open Singles	Flight C	MAIN	QF,SF,F	7
21-24367	2	3	2	W	Women's Open Singles	Flight C	CONSOLATION	SQ,SF,F	5
21-24367	2	4	1	W	Women's Open Singles	Consolation 1	MAIN	SF,F	3
21-24367	2	5	1	W	Women's Open Singles	Consolation 2	MAIN	SF,F	3
21-24367	2	6	1	W	Women's Open Singles	Consolation 3	MAIN	SF,F	3
21-24367	3	1	1	M	Men's Open Doubles	Men's Doubles	MAIN	16,QF,SF,F	15
21-24367	4	1	1	W	Women's Open Doubles	Women's Doubles	MAIN	16,QF,SF,F	15
21-24494	1			W	Women's Open Singles				
21-24494	2			W	Women's Open Doubles				
21-25213	1			W	Women's Open Singles				
21-25213	2			W	Women's Open Doubles				
21-25873	1			M	Men's Open Singles				
21-25873	2			M	Men's Open Doubles				
21-25876	1			W	Women's Open				
21-26104	1			M	Men's Open				
21-27941	1			M	Men's Open Singles				
21-27941	2			W	Women's Open Singles				
21-27941	3			M	Men's Open Doubles				
21-27941	4			W	Women's Open Doubles				
21-30664	1			W	Women's Open Singles				
21-30664	2			W	Women's Open Doubles				
21-31047	1	1	1	W	Women's Open Singles	Flight 1	EAST	QF,SF,F	7
21-31047	1	1	2	W	Women's Open Singles	Flight 1	WEST	SF,F	3
21-31047	1	1	3	W	Women's Open Singles	Flight 1	3-4 Playoff	F	1
21-31047	1	1	4	W	Women's Open Singles	Flight 1	SOUTH	F	1
21-31047	1	2	1	W	Women's Open Singles	Flight 2	EAST	QF,SF,F	7
21-31047	1	2	2	W	Women's Open Singles	Flight 2	WEST	SF,F	3
21-31047	1	2	3	W	Women's Open Singles	Flight 2	3-4 Playoff	F	1
21-31047	1	2	4	W	Women's Open Singles	Flight 2	SOUTH	F	1
21-31047	1	3	1	W	Women's Open Singles	Flight 3	EAST	QF,SF,F	7
21-31047	1	3	2	W	Women's Open Singles	Flight 3	WEST	SF,F	3
21-31047	1	3	3	W	Women's Open Singles	Flight 3	3-4 Playoff	F	1
21-31047	1	3	4	W	Women's Open Singles	Flight 3	SOUTH	F	1
21-31047	1	4	1	W	Women's Open Singles	Flight 4	EAST	QF,SF,F	7
21-31047	1	4	2	W	Women's Open Singles	Flight 4	WEST	SF,F	3
21-31047	1	4	3	W	Women's Open Singles	Flight 4	3-4 Playoff	F	1
21-31047	1	4	4	W	Women's Open Singles	Flight 4	SOUTH	F	1
21-31047	1	5	1	W	Women's Open Singles	Flight 6	MAIN	R1,R2,R3,R4,R5	10
21-31047	1	6	1	W	Women's Open Singles	Flight 5	MAIN	R1,R2,R3,R4,R5	10
21-31047	2	1	1	W	Women's Open Doubles	Flight 1	EAST	QF,SF,F	7
21-31047	2	1	2	W	Women's Open Doubles	Flight 1	WEST	SF,F	3
21-31047	2	1	3	W	Women's Open Doubles	Flight 1	3-4 Playoff	F	1
21-31047	2	1	4	W	Women's Open Doubles	Flight 1	SOUTH	F	1
21-31047	2	2	1	W	Women's Open Doubles	Flight 2	MAIN	R1,R2,R3	6
21-31047	2	2	2	W	Women's Open Doubles	Flight 2	Playoff 1	F	1
21-31047	2	2	3	W	Women's Open Doubles	Flight 2	Playoff 2	F	1
21-31047	2	2	4	W	Women's Open Doubles	Flight 2	Playoff 3	F	1
21-31047	2	3	1	W	Women's Open Doubles	Flight 3	MAIN	R1,R2,R3	6
21-31047	2	3	2	W	Women's Open Doubles	Flight 3	Playoff 1	F	1
21-31047	2	3	3	W	Women's Open Doubles	Flight 3	Playoff 2	F	1
21-31047	2	3	4	W	Women's Open Doubles	Flight 3	Playoff 3	F	1
21-32447	1			W	Women's Open Singles				
21-32447	2			W	Women's Open Doubles				
21-33894	1			W	Women's Open Singles				
21-33894	2			W	Women's Open Doubles				
21-34233	1	1	1	W	Women's Open Singles	Flight C Backdraw	MAIN	QF,SF,F	7
21-34233	1	2	1	W	Women's Open Singles	Flight D Backdraw	MAIN	QF,SF,F	7
21-34233	1	3	1	W	Women's Open Singles	Flight E Backdraw	MAIN	SF,F	3
21-34233	1	4	1	W	Women's Open Singles	Flight E	MAIN	QF,SF,F	7
21-34233	1	5	1	W	Women's Open Singles	Flight D	MAIN	16,QF,SF,F	15
21-34233	1	6	1	W	Women's Open Singles	Flight C	MAIN	16,QF,SF,F	15
21-34233	1	7	1	W	Women's Open Singles	Flight B	MAIN	16,QF,SF,F	15
21-34233	1	8	1	W	Women's Open Singles	Flight B Backdraw	MAIN	QF,SF,F	7
