---
season: 2021-22
division: d1
gender: men
description: schedule/scoreboard from conference websites
updated: 2022-01-20
past: 122 (6%)
today: 13 (1%)
future: 1674 (87%)
completed: 98 (73%)
postponed: 16 (12%)
cancelled: 6 (4%)
unreported: 15 (11%)
total: 1916
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
   SCn	106110	2022-01-15	12:00pm	M	  	FUR  	at	  	CLEM 	L	1-6	 	 	d1     		2022-01-15T17:00Z		ET 	12:00 P.M.    	Clemson, SC                                     				[Live Stats](http://stats.statbroadcast.com/statmonitr/?id=381493) [Box Score](/boxscore.aspx?id=FBO3yRPAqNuQIJe8jJZ7psffyG9MdtMjaL%2f%2b0COrhszEAr%2bS5nqwh2wOqEbB9Dc0Y%2byEIH0C2JFW6PPREm%2fUUKELehJm167ojqUuMI3Ji%2fNaM%2btZOQ77XsfJdFngE1nt&path=mten)
 BgSky	 48431	2022-01-15	12:00pm	M	  	IDST 	at	  	UTAH 	L	0-7	 	 	d1     		2022-01-15T17:00Z		MT 	10:00 a.m. MT 	Salt Lake City, UT                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglwTI7wf6k4lWfZqZWqCW5xpH3yiK0ZrEe2cOdCp3ZXXDUJR0qT9LQPN2CUUq2eEmTxUWci0F2iAen61MrAMQBZ&path=mten)
 C-USA	 66290	2022-01-15	 1:00pm	M	  	FAU  	at	  	ARMY 	W	7-0	 	 	d1     		2022-01-15T18:00Z		ET 	1:00 P.M.     	West Point, NY                                  				[Box Score](/boxscore.aspx?id=fr0pEOEgA2aFEO34MNzHWMt8k%2bsjWx4aHFHtOLyG13ielOw2goPgAmpn77%2bXxpikarJnQdoXa0bAD%2bN46MKJoyrN%2feMzSZkgRf7yIsvTZ5ruSFTW0eLNlI6SJTtPxzj0&path=mten)
  Smmt	 57235	2022-01-15	 1:00pm	M	  	FAU  	vs	  	ILST 	W	7-0	N	 	d1     		2022-01-15T18:00Z		CT 	12:00 P.M.    	West Point, NY                                  				
 BgSky	 48237	2022-01-15	 2:00pm	M	  	AFA  	vs	  	EWU  	W	6-1	N	 	d1     		2022-01-15T19:00Z		PT 	11:00 a.m. PT 	Missoula, MT                                    				
  Ptrt	116103	2022-01-15	 2:00pm	M	  	FAU  	at	  	ARMY 	W	7-0	 	 	d1     		2022-01-15T19:00Z		ET 	2:00 P.M.     	West Point, NY                                  				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRgluMUQaz65pji0%2bLIFrVf9iafqxUGadXVts9UMcQc8rpcqsv7F8hTgHXL6%2b66vfQSSnzYF6eFqWThbdCFcmp%2bJyMYVVu0s1K8pgyWsXezkfnA%3d%3d&path=mten)
   SCn	106138	2022-01-15	 2:00pm	M	  	MER  	at	  	BAMA 	L	1-6	 	 	d1     		2022-01-15T19:00Z		   	2:00 P.M.     	Tuscaloosa, AL                                  				
 BgSth	 94446	2022-01-15	 2:30pm	M	  	KENN 	at	  	PRES 	L	2-5	 	 	d1     		2022-01-15T19:30Z		ET 	2:30 P.M.     	Clinton, SC                                     				[Box Score](/boxscore.aspx?id=ykkDtjynM9ykCGqn5NAJadBsjYk7TAHfSsNqtjKT4Vp74YX0EgS6GAct%2bfWoXoQjrO%2bz24%2bre2q1bktvKkv30PeJtiI6BlDq6KnlE4ZT0snj%2fSCO7Az1Gw3n3nUV%2bD%2bZ&path=mten)
 Amrcn	 35878	2022-01-15	 3:00pm	M	  	PUR  	at	  	SMU  	L	3-4	 	 	d1     		2022-01-15T20:00Z		   	2:00 P.M.     	Dallas, TX                                      				[Live Stats](https://smumustangs.com/sports/2017/1/12/sports-mten-live-scoring.aspx)
  Smmt	 58178	2022-01-15	 4:00pm	M	  	UND  	at	  	NEB  	P	   	 	 	d1     		2022-01-15T21:00Z		CT 	3:00 P.M.     	Lincoln, NE                                     				[Video](https://huskers.com/sports/2019/1/28/211695063.aspx?id=2120) [Live Stats](http://sidearmstats.com/nebraska/mtennis/xlive.htm)
  Smmt	 58133	2022-01-15	 5:00pm	M	  	OMAHA	at	  	NEB  	P	   	 	 	d1     		2022-01-15T22:00Z		CT 	4:00 P.M.     	Lincoln, NE                                     				
  Hrzn	 38777	2022-01-15	 5:00pm	M	  	UIC  	at	  	WMU  	C	   	 	 	d1     		2022-01-15T22:00Z		CT 	4:00 P.M.     	Kalamazoo, MI                                   				
   SCn	106209	2022-01-15	 5:00pm	M	  	WOF  	at	  	CLEM 	P	   	 	 	d1     		2022-01-15T22:00Z		   	5:00 P.M.     	Clemson, SC                                     				
  Smmt	 57224	2022-01-15	 6:00pm	M	  	DEP  	vs	  	ILST 	W	4-3	N	 	d1     		2022-01-15T23:00Z		CT 	5:00 P.M.     	West Point, NY                                  				
 BgSky	 48432	2022-01-15	 6:00pm	M	  	IDST 	at	  	UTAH 	L	1-6	 	 	d1     		2022-01-15T23:00Z		MT 	4:00 p.m. MT  	Salt Lake City, UT                              				[Box Score](/boxscore.aspx?id=7Gx48kkB20iPlOppZhxXHy%2f5Zy4VtNXkGzuHdKHXRglwTI7wf6k4lWfZqZWqCW5xpH3yiK0ZrEe2cOdCp3ZXXDUJR0qT9LQPN2CUUq2eEmSgMzzRlRvLlbbktd8TDnaU&path=mten)
   SCn	106642	2022-01-15	 7:00pm	M	  	SAM  	at	  	BAMA 	L	2-5	 	 	d1     		2022-01-16T00:00Z		   	7:00 P.M.     	Tuscaloosa, AL                                  				[Track.Tennis](https://web.track.tennis/events/watch?key=560.OO1X-KHZtgo#/)
 BgSky	 48425	2022-01-15	 7:00pm	M	  	WEBER	at	  	ORE  	L	1-6	 	 	d1     		2022-01-16T00:00Z		MT 	5:00 p.m. MT  	Eugene, OR                                      				
 Amrcn	 35928	2022-01-15	 8:00pm	M	  	CAL  	at	  	TULSA	W	4-3	 	 	d1     		2022-01-16T01:00Z		   	7:00 P.M.     	Tulsa, OK                                       				[Video](http://streamingtennis.com/tulsa/) [Live Stats](http://streamingtennis.com/tulsa/)
  Bg12	154967	2022-01-16	 1:00pm	M	 1	FLA  	at	 3	TEX  	W	4-3	 	 	d1     		2022-01-16T18:00Z		CT 	12:00 P.M.    	Austin, TX                                      				
  Bg12	154955	2022-01-16	 1:00pm	M	 4	TENN 	at	 5	TCU  	W	4-3	 	 	d1     		2022-01-16T18:00Z		CT 	12:00 P.M.    	Fort Worth, TX                                  				
